,GENDER,AGE_GROUP,CT_PY_CYCLE_CD,CT_PY_PD,mean_AMT,GBN_CD_1,GBN_CD_2,GBN_CD_3,GBN_CD_4,보험계약건수,해지율,만기율,청구건수,계약유지율,코사인군집
255,1,3,2,20,99.33333333333331,1,0,0,0,7.0,0.57,0.0,1.0,14.583333333333334,3
256,1,3,2,30,57.0,1,1,1,1,5.0,0.8,0.0,2.0,100.0,0
257,1,5,2,20,69.66666666666667,1,1,1,1,3.0,0.0,0.0,0.0,100.0,0
258,2,5,1,0,21.0,1,0,0,1,9.0,0.11,0.56,1.0,100.0,2
259,1,4,2,30,44.0,1,1,1,0,11.0,0.18,0.0,0.0,100.0,0
260,1,4,2,20,36.0,1,1,0,0,6.0,0.67,0.0,5.0,100.0,0
261,2,5,2,20,27.0,0,1,1,1,9.0,0.22,0.0,0.0,100.0,2
262,2,4,2,61,76.0,1,1,1,1,12.0,0.08,0.0,2.0,100.0,4
263,1,4,2,10,9.0,1,1,1,1,11.0,0.09,0.18,0.0,100.0,2
264,1,5,2,20,48.0,1,1,1,1,5.0,0.4,0.0,1.0,13.750000000000002,1
265,2,3,2,30,80.0,1,1,1,1,8.0,0.25,0.0,5.0,100.0,4
266,2,4,2,20,8.0,1,1,1,1,3.0,0.67,0.0,2.0,100.0,2
267,1,6,2,20,72.0,1,0,1,0,2.0,0.0,0.0,0.0,100.0,0
268,2,6,2,20,11.0,1,0,0,0,8.0,0.38,0.0,3.0,48.333333333333336,2
269,2,5,2,30,25.0,0,1,1,1,12.0,0.5,0.0,0.0,0.8333333333333334,3
270,2,3,2,72,81.5,1,1,1,1,10.0,0.1,0.3,0.0,100.0,4
271,2,4,1,0,290.0,1,1,1,1,14.0,0.07,0.0,0.0,100.0,1
272,2,2,2,20,220.0,1,1,1,1,5.0,0.0,0.0,0.0,4.583333333333333,3
273,2,4,1,0,56.0,1,0,0,0,3.0,0.0,0.33,0.0,100.0,0
274,2,2,2,15,26.0,1,1,1,1,6.0,0.17,0.0,1.0,100.0,2
275,2,8,2,10,30.0,0,1,0,0,3.0,0.33,0.0,0.0,100.0,2
276,2,6,2,20,55.0,1,1,1,1,3.0,0.33,0.0,2.0,100.0,0
277,1,3,2,20,18.0,1,1,1,1,9.0,0.22,0.0,1.0,100.0,2
278,1,3,2,30,203.3333333333333,1,0,0,0,9.0,0.44,0.0,2.0,100.0,1
279,2,4,2,20,28.0,1,1,0,1,4.0,0.25,0.75,0.0,1.6666666666666667,3
280,2,4,2,25,70.0,1,1,1,1,14.0,0.0,0.71,0.0,100.0,0
281,2,3,2,10,250.0,1,0,0,1,1.0,1.0,0.0,2.0,81.66666666666667,1
282,2,3,2,20,12.0,0,1,0,0,11.0,0.27,0.0,2.0,100.0,2
283,2,3,2,20,55.0,1,0,0,0,6.0,0.0,0.83,0.0,100.0,0
284,2,4,2,20,49.0,1,1,1,1,14.0,0.36,0.0,0.0,100.0,0
285,2,4,2,20,60.0,1,1,1,1,2.0,0.0,0.0,0.0,6.25,3
286,2,5,2,20,17.0,1,0,1,1,9.0,0.0,0.0,0.0,100.0,2
287,1,3,2,71,57.5,1,1,1,1,4.0,0.75,0.0,0.0,6.924882629107981,3
288,2,6,2,15,25.0,1,1,1,1,3.0,0.0,0.33,4.0,100.0,2
289,1,3,2,3,1.0,1,0,0,0,11.0,0.45,0.09,2.0,100.0,2
290,2,3,2,30,160.0,1,1,1,1,13.0,0.46,0.0,0.0,100.0,1
291,1,4,2,10,48.0,1,1,1,1,12.0,0.25,0.0,0.0,100.0,0
292,1,3,2,20,110.0,1,1,1,1,3.0,0.67,0.0,1.0,100.0,4
293,2,4,2,25,50.0,1,1,1,1,7.0,0.71,0.0,0.0,25.333333333333336,1
294,1,3,2,54,25.5,1,1,1,1,12.0,0.33,0.17,1.0,100.0,2
295,2,4,2,20,26.0,1,0,1,1,7.0,0.29,0.43,4.0,100.0,2
296,1,5,2,20,74.0,1,1,1,0,8.0,0.5,0.0,0.0,100.0,0
297,1,2,2,78,34.5,1,1,1,1,9.0,0.11,0.0,4.0,100.0,2
298,1,3,2,20,120.0,1,1,1,1,2.0,0.0,0.0,0.0,100.0,4
299,1,5,2,20,18.0,1,1,1,1,9.0,0.33,0.0,4.0,100.0,2
300,2,2,2,30,26.0,1,1,1,1,1.0,1.0,0.0,0.0,100.0,2
301,2,3,2,20,130.0,1,1,1,1,3.0,0.0,0.0,0.0,100.0,4
302,1,7,2,10,36.0,1,0,1,0,7.0,0.0,0.43,0.0,100.0,0
