GENDER,AGE_GROUP,reduce_GBN_CD,CT_PY_CYCLE_CD,CT_PY_PD,mean_AMT,GBN_CD_1,GBN_CD_2,GBN_CD_3,GBN_CD_4,보험계약건수,해지율,만기율,청구건수,계약유지율,업권,코사인군집
2,4,7,2,2,940.0,1,0,0,0,16.0,0.12,0.0,0.0,100.0,2,1
2,3,2,2,20,155.0,1,1,1,1,8.0,0.12,0.12,0.0,100.0,2,2
2,6,2,2,15,62.5,1,1,1,0,1.0,0.0,0.0,0.0,100.0,2,3
2,6,2,2,20,41.5,1,1,1,1,11.0,0.36,0.0,2.0,100.0,2,3
1,3,2,2,39,200.0,1,1,1,1,8.0,0.12,0.88,0.0,100.0,2,4
1,5,2,2,10,73.0,0,1,1,0,6.0,0.17,0.0,0.0,74.16666666666667,2,2
1,4,2,2,20,9.0,1,1,0,0,14.0,0.57,0.0,0.0,16.25,2,0
1,4,2,2,10,60.0,0,1,0,0,4.0,0.25,0.5,0.0,8.333333333333332,2,1
2,5,1,2,20,150.0,1,1,1,1,24.0,0.17,0.0,0.0,100.0,2,2
2,4,1,2,20,83.33333333333333,1,0,0,0,1.0,0.0,0.0,3.0,100.0,2,2
2,1,2,2,20,47.0,1,1,1,0,6.0,0.0,0.17,1.0,100.0,2,3
2,3,2,2,54,46.0,1,1,0,0,12.0,0.08,0.08,0.0,100.0,2,3
2,4,1,2,10,170.0,1,0,0,0,9.0,0.11,0.11,3.0,100.0,2,2
1,5,7,2,12,80.0,1,0,0,0,5.0,0.4,0.0,1.0,59.02777777777778,2,2
1,4,7,2,42,230.0,1,0,0,0,12.0,0.0,0.17,5.0,100.0,2,4
2,2,1,2,20,93.0,1,1,1,1,18.0,0.0,0.11,0.0,100.0,2,2
2,5,8,2,10,53.0,1,0,0,0,12.0,0.08,0.0,0.0,100.0,2,3
2,6,3,2,19,20.0,1,1,0,0,5.0,0.2,0.0,0.0,100.0,2,0
1,3,3,1,0,1.0,1,0,0,0,2.0,0.0,1.0,0.0,100.0,2,0
2,6,2,2,10,39.0,0,1,0,0,5.0,0.0,0.0,2.0,100.0,2,3
2,3,1,2,20,67.0,1,1,1,0,4.0,0.0,0.25,0.0,100.0,2,3
2,5,3,2,15,13.0,1,1,1,0,11.0,0.09,0.0,1.0,100.0,2,0
1,5,2,2,20,31.0,0,1,0,0,12.0,0.0,0.5,0.0,100.0,2,0
1,4,1,2,10,395.0,1,1,1,0,10.0,0.3,0.2,1.0,100.0,2,4
2,5,2,2,10,22.0,0,1,0,0,13.0,0.0,0.0,0.0,100.0,2,0
1,4,1,2,33,180.0,1,1,1,0,6.0,0.5,0.0,0.0,100.0,2,4
2,4,2,2,32,110.0,1,1,1,1,4.0,0.25,0.25,0.0,100.0,2,2
2,4,3,2,20,51.5,1,1,1,0,11.0,0.0,0.18,2.0,100.0,2,3
2,4,1,2,33,170.0,1,1,1,0,7.0,0.43,0.0,2.0,100.0,2,2
2,5,2,2,20,105.0,1,1,1,0,11.0,0.18,0.09,0.0,100.0,2,2
2,3,1,2,20,93.5,1,1,1,1,3.0,0.33,0.33,2.0,100.0,2,2
2,5,1,1,0,5000.0,1,1,0,0,2.0,0.0,0.0,0.0,100.0,2,1
2,2,2,2,15,8.0,1,1,0,0,3.0,0.33,0.0,0.0,100.0,2,0
1,6,2,2,10,40.0,0,0,1,0,20.0,0.2,0.15,0.0,17.5,2,4
2,7,2,2,10,36.0,0,1,0,0,11.0,0.55,0.18,3.0,55.833333333333336,2,3
2,4,1,2,99,140.0,1,0,0,0,16.0,0.25,0.06,1.0,100.0,2,2
2,4,2,2,20,140.0,1,1,1,0,3.0,0.0,0.33,3.0,100.0,2,2
2,7,1,1,0,5000.0,1,0,0,0,8.0,0.0,0.0,0.0,100.0,2,1
2,3,7,2,10,170.0,1,0,0,0,7.0,0.43,0.0,0.0,30.833333333333336,2,1
1,4,2,2,33,125.0,1,1,1,0,6.0,0.33,0.17,2.0,100.0,2,2
2,7,7,1,0,5000.0,1,0,0,0,3.0,0.0,0.33,0.0,100.0,2,1
1,8,2,2,5,66.0,0,1,0,0,2.0,1.0,0.0,0.0,90.0,2,3
1,5,7,2,2,400.0,1,0,0,0,10.0,0.0,0.1,0.0,100.0,2,4
2,3,7,2,20,120.0,1,0,0,0,3.0,0.0,0.0,0.0,100.0,2,2
1,3,2,2,36,115.0,1,1,1,1,7.0,0.71,0.0,0.0,100.0,2,2
2,2,1,2,5,120.0,1,0,0,0,7.0,0.0,0.14,0.0,100.0,2,2
2,5,2,2,30,40.0,0,1,0,0,20.0,0.35,0.1,0.0,100.0,2,3
2,3,1,2,20,650.0,1,0,0,0,10.0,0.0,0.0,2.0,100.0,2,1
2,5,2,2,10,13.0,0,1,0,0,3.0,0.33,0.33,0.0,100.0,2,0
2,4,2,2,10,24.0,0,0,1,0,20.0,0.45,0.0,0.0,10.833333333333334,2,4
2,4,2,2,15,33.0,1,1,1,0,9.0,1.0,0.0,1.0,100.0,2,0
1,5,1,2,10,270.0,1,0,0,0,11.0,0.0,0.36,1.0,100.0,2,4
2,5,1,2,10,80.0,1,0,0,1,8.0,0.0,0.25,0.0,100.0,2,3
2,5,7,2,3,770.0,1,0,0,0,7.0,0.0,0.14,1.0,100.0,2,1
1,6,2,2,15,68.0,1,1,0,0,15.0,0.13,0.13,3.0,100.0,2,3
1,4,2,2,30,110.0,0,1,0,0,9.0,0.0,0.0,0.0,100.0,2,2
1,5,7,1,0,5000.0,1,0,0,0,6.0,0.0,0.0,0.0,100.0,2,1
1,5,2,2,20,95.0,1,1,1,1,6.0,0.0,0.0,0.0,100.0,2,2
2,6,2,2,20,37.0,0,1,0,0,10.0,0.3,0.0,0.0,7.916666666666666,2,1
2,6,3,3,1,76.0,1,1,1,0,13.0,0.08,0.0,0.0,100.0,2,3
1,5,1,2,19,110.0,1,1,1,0,3.0,0.33,0.0,0.0,100.0,2,2
1,2,2,2,15,42.0,1,1,1,1,1.0,0.0,0.0,0.0,100.0,2,3
2,2,2,2,20,60.0,0,1,0,0,4.0,0.0,0.0,0.0,100.0,2,3
2,6,8,2,15,41.0,0,0,0,1,14.0,0.21,0.14,3.0,12.777777777777777,2,4
2,5,2,2,10,18.0,0,0,1,0,8.0,0.12,0.0,0.0,12.5,2,2
1,4,1,2,20,42.0,1,1,1,0,4.0,0.0,0.0,0.0,100.0,2,3
1,4,1,2,20,86.0,1,1,1,0,15.0,0.07,0.07,0.0,100.0,2,2
1,5,2,2,20,370.0,1,1,1,1,1.0,0.0,0.0,5.0,100.0,2,4
2,6,3,3,1,110.0,1,1,1,0,6.0,0.0,0.33,3.0,100.0,2,2
1,4,2,2,20,460.0,1,1,1,0,12.0,0.33,0.25,1.0,100.0,2,4
1,5,2,2,10,26.0,0,1,0,0,9.0,0.0,0.0,0.0,100.0,2,0
1,7,7,2,10,130.0,1,0,0,0,10.0,0.1,0.1,0.0,100.0,2,2
2,6,7,1,0,5000.0,1,0,0,0,7.0,0.43,0.0,0.0,100.0,2,1
2,6,8,2,5,38.0,0,0,0,1,9.0,0.0,0.11,0.0,100.0,2,0
1,2,2,2,20,93.0,1,1,1,1,3.0,0.0,0.0,4.0,100.0,2,2
1,7,3,3,1,310.0,1,1,1,0,8.0,0.0,0.0,0.0,100.0,2,4
2,2,1,2,20,39.0,1,1,1,0,5.0,0.0,0.2,0.0,100.0,2,3
2,3,2,2,10,18.0,0,1,0,0,5.0,0.4,0.0,1.0,100.0,2,0
2,4,1,2,20,170.0,1,1,1,0,4.0,0.25,0.25,0.0,100.0,2,2
2,5,7,2,15,90.0,1,0,0,0,5.0,0.0,0.0,0.0,100.0,2,2
2,4,1,2,20,71.0,1,0,0,0,19.0,0.16,0.05,0.0,100.0,2,3
1,7,2,2,15,20.0,0,1,0,0,2.0,0.0,0.0,6.0,100.0,2,0
2,4,7,2,10,110.0,1,0,0,0,8.0,0.38,0.0,1.0,77.5,2,2
2,4,2,2,43,38.0,0,1,1,0,13.0,0.23,0.0,0.0,100.0,2,0
2,5,2,2,29,59.0,0,1,0,0,3.0,0.33,0.0,1.0,100.0,2,3
1,4,2,2,15,220.0,0,1,0,0,18.0,0.11,0.0,0.0,100.0,2,4
1,2,1,2,20,66.0,1,1,1,0,7.0,0.43,0.0,0.0,100.0,2,3
2,5,2,2,20,97.5,1,1,1,0,8.0,0.12,0.0,0.0,100.0,2,2
1,3,2,2,30,43.5,1,1,1,1,4.0,0.5,0.25,0.0,28.88888888888889,2,2
1,7,2,2,10,60.0,0,1,0,0,6.0,0.33,0.33,2.0,100.0,2,3
1,5,1,2,20,120.0,1,0,0,0,15.0,0.2,0.33,2.0,100.0,2,2
1,4,7,2,10,74.0,1,0,0,0,14.0,0.07,0.0,1.0,100.0,2,3
1,4,2,2,20,37.0,0,1,1,1,7.0,0.0,0.29,0.0,100.0,2,0
1,3,2,2,20,14.0,0,1,1,0,7.0,0.71,0.0,0.0,100.0,2,0
1,3,2,2,10,14.0,0,1,0,0,12.0,0.08,0.0,1.0,8.333333333333332,2,4
1,3,2,2,30,94.0,1,1,1,1,12.0,0.25,0.0,2.0,100.0,2,2
1,7,2,2,20,57.0,0,1,0,0,7.0,0.43,0.0,4.0,100.0,2,3
2,5,2,2,10,27.0,0,1,0,0,11.0,0.09,0.0,0.0,100.0,2,0
2,6,2,2,17,11.0,0,1,0,0,8.0,0.12,0.0,0.0,100.0,2,0
2,5,2,2,20,100.0,1,1,1,0,11.0,0.27,0.09,0.0,100.0,2,2
2,4,7,2,10,600.0,1,0,0,0,15.0,0.07,0.07,4.0,100.0,2,1
2,4,2,2,20,210.0,1,1,1,1,6.0,0.0,0.17,0.0,100.0,2,4
2,5,1,2,15,40.0,1,0,0,0,7.0,0.0,0.0,0.0,100.0,2,3
2,7,3,3,1,220.0,1,1,1,0,3.0,0.0,0.0,0.0,100.0,2,4
2,4,2,2,20,130.0,1,1,1,0,5.0,0.0,0.2,0.0,100.0,2,2
2,3,8,2,20,53.0,1,1,1,0,8.0,0.0,0.0,0.0,100.0,2,3
1,5,1,2,15,117.0,1,0,0,0,9.0,0.11,0.0,3.0,100.0,2,2
2,4,1,2,20,413.3333333333333,1,1,1,1,5.0,0.0,0.0,1.0,100.0,2,4
1,3,7,2,10,400.0,1,0,0,0,8.0,0.25,0.12,1.0,21.666666666666668,2,1
2,4,1,2,20,50.0,1,1,0,0,7.0,0.14,0.14,0.0,100.0,2,3
2,3,2,2,37,34.0,1,1,0,0,5.0,0.2,0.2,1.0,100.0,2,0
1,5,7,2,10,89.0,1,0,0,0,3.0,0.0,0.33,1.0,100.0,2,2
2,4,2,2,20,49.0,1,1,0,0,11.0,0.0,0.73,0.0,100.0,2,3
2,4,1,2,5,180.0,1,1,1,0,11.0,0.27,0.18,1.0,100.0,2,4
1,5,1,2,20,220.0,1,1,1,0,6.0,0.0,0.17,2.0,100.0,2,4
2,6,2,2,10,21.0,0,1,0,0,7.0,0.0,0.0,0.0,100.0,2,0
1,3,2,2,20,150.0,1,1,1,0,5.0,0.0,0.2,2.0,100.0,2,2
1,4,1,2,20,510.0,1,0,0,0,22.0,0.45,0.14,0.0,100.0,2,1
2,6,2,2,10,23.0,0,1,0,0,10.0,0.2,0.0,0.0,25.833333333333336,2,2
2,2,2,2,10,120.0,0,1,0,0,9.0,0.0,0.0,0.0,10.0,2,1
2,3,1,2,15,26.0,1,0,1,0,3.0,0.0,0.0,1.0,100.0,2,0
2,4,2,2,20,110.0,1,1,1,1,2.0,1.0,0.0,1.0,100.0,2,2
2,4,7,1,0,5000.0,1,0,0,0,7.0,0.0,0.0,0.0,0.0,2,1
1,7,2,2,10,50.0,0,0,1,0,8.0,0.25,0.25,6.0,100.0,2,3
1,7,2,2,80,51.0,0,1,0,0,12.0,0.25,0.0,0.0,100.0,2,0
1,4,2,2,25,120.0,1,1,0,0,7.0,0.29,0.14,0.0,100.0,2,2
1,6,2,2,10,18.0,0,1,0,0,5.0,0.2,0.0,1.0,100.0,2,0
1,3,7,2,10,160.0,1,0,0,0,8.0,0.12,0.38,4.0,100.0,2,2
2,3,7,2,30,230.0,1,0,1,0,10.0,0.0,0.1,0.0,100.0,2,4
1,5,1,2,10,40.0,1,1,1,1,10.0,0.4,0.1,0.0,22.5,2,4
1,5,2,2,10,58.0,0,1,1,0,7.0,0.0,0.0,0.0,100.0,2,3
1,6,2,2,10,14.0,0,1,0,0,5.0,0.0,0.2,1.0,100.0,2,0
2,3,7,2,15,270.0,1,0,0,0,9.0,0.22,0.0,0.0,100.0,2,4
2,3,1,2,20,180.0,1,0,0,0,8.0,0.12,0.0,0.0,100.0,2,4
